Data successfully updated.","Data successfully updated."
"Please wait ...","Please wait ..."
"Analysis done!","Analysis done!"
"Your shop categories were synchronized,"Your shop categories were synchronized"
"Enable A/B Testing","Enable A/B Testing"
"Submit","Submit"
"View my statistics","View my statistics"
"Go to my profile","Go to my profile"
"Synchronize my categories","Synchronize my categories"
"Please add your access key","Please add your access key"
"your access key","your access key"
"By clicking you accept the","By clicking you accept the"
"the terms and conditions of Favizone","the terms and conditions of Favizone"
"Yes","Yes"
"No","No"
